,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type
2278,2278,643910.7418166051,6779415.406336126,A0019,POINT (643910.7418166051 6779415.406336126),1.0,"0    22557.21189
dtype: float64",5.0,"0    706.08534
dtype: float64",26815.98,0.002164657158992818,3604.154169723042,14416.616678892167,1315516.2719489103,0,0,0,1,large
576,576,715510.3147498067,6803825.715148728,A0005,POINT (715510.3147498067 6803825.715148728),1.0,"0    17981.764399
dtype: float64",5.0,"0    13849.383139
dtype: float64",52949.71,0.0042742412851625635,2372.2039132652226,9488.81565306089,865854.4283418063,0,0,0,1,large
93,93,667686.6892313482,6891809.560914348,A0001,POINT (667686.6892313482 6891809.560914348),1.0,"0    3679.686808
dtype: float64",5.0,"0    3521.484031
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
569,569,709825.969999999,6807720.856,A0005,POINT (709825.969999999 6807720.856),1.0,"0    11551.06542
dtype: float64",5.0,"0    7945.81231
dtype: float64",52949.71,0.0042742412851625635,2372.2039132652226,9488.81565306089,865854.4283418063,0,0,0,1,large
2801,2801,767711.1534365801,6923861.548681665,A0026,POINT (767711.1534365801 6923861.548681665),1.0,"0    15551.645238
dtype: float64",5.0,"0    13482.381042
dtype: float64",156332.18,0.012619548963638615,5252.887256114574,21011.549024458294,1917303.8484818193,0,0,0,1,large
2485,2485,581791.6130627682,6366672.7852397505,A0020,POINT (581791.6130627682 6366672.7852397505),1.0,"0    44842.431744
dtype: float64",5.0,"0    9377.35157
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
77,77,662252.0423719805,6874728.354773903,A0001,POINT (662252.0423719805 6874728.354773903),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
1096,1096,890530.2435303739,6257837.161956808,A0007,POINT (890530.2435303739 6257837.161956808),1.0,"0    4209.190405
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
953,953,841509.4458052453,6475870.76756544,A0007,POINT (841509.4458052453 6475870.76756544),1.0,"0    8986.969633
dtype: float64",5.0,"0    850.238751
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
2010,2010,647304.854000002,6872434.219,A0015,POINT (647304.854000002 6872434.219),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,4245.328334435337,16981.313337741347,1549544.8420688978,0,0,0,1,large
942,942,842344.157473257,6506404.824280105,A0007,POINT (842344.157473257 6506404.824280105),1.0,"0    2779.089975
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
2042,2042,634546.9012995954,6881902.492142279,A0015,POINT (634546.9012995954 6881902.492142279),1.0,"0    256.389483
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,4245.328334435337,16981.313337741347,1549544.8420688978,0,0,0,1,large
2718,2718,692841.7009948363,7024116.675903254,A0026,POINT (692841.7009948363 7024116.675903254),1.0,"0    4074.496889
dtype: float64",5.0,"0    2752.717897
dtype: float64",156332.18,0.012619548963638615,5252.887256114574,21011.549024458294,1917303.8484818193,0,0,0,1,large
3058,3058,515921.7417186225,6947148.596267386,A0029,POINT (515921.7417186225 6947148.596267386),1.0,"0    12654.709915
dtype: float64",5.0,"0    10079.400697
dtype: float64",69686.13,0.005625249578311297,5352.023170221891,21408.092680887563,1953488.4571309902,0,0,0,1,large
345,345,748579.2867728351,6894574.792127407,A0004,POINT (748579.2867728351 6894574.792127407),1.0,"0    21692.360941
dtype: float64",5.0,"0    21368.395617
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
864,864,842292.4786595723,6615632.732729875,A0006,POINT (842292.4786595723 6615632.732729875),1.0,"0    12235.458588
dtype: float64",5.0,"0    10427.219548
dtype: float64",356928.98,0.028812255670275868,11993.10142275233,47972.40569100932,4377482.019304601,0,0,0,1,large
2205,2205,643751.6642357502,7096246.342361083,A0016,POINT (643751.6642357502 7096246.342361083),1.0,"0    4611.655208
dtype: float64",5.0,"0    0.0
dtype: float64",42708.41,0.0034475363367551908,1435.0370001743481,5740.1480006973925,523788.50506363704,0,0,0,1,large
2873,2873,597226.0951425923,6976196.818244498,A0028,POINT (597226.0951425923 6976196.818244498),1.0,"0    22783.596853
dtype: float64",5.0,"0    17396.918453
dtype: float64",73035.72,0.005895637383388373,3569.540452124233,14278.161808496932,1302882.2650253451,0,0,0,1,large
300,300,674684.9952766962,6859186.552413885,A0004,POINT (674684.9952766962 6859186.552413885),1.0,"0    922.142589
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
1526,1526,516790.0612731768,6663710.714276195,A0010,POINT (516790.0612731768 6663710.714276195),1.0,"0    30161.175953
dtype: float64",5.0,"0    16260.993796
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
2034,2034,635624.660458693,6881633.338468362,A0015,POINT (635624.660458693 6881633.338468362),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,4245.328334435337,16981.313337741347,1549544.8420688978,0,0,0,1,large
506,506,1003852.997,6867371.386,A0004,POINT (1003852.997 6867371.386),1.0,"0    20180.362771
dtype: float64",5.0,"0    11075.075847
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
101,101,674445.7471093528,6902999.859197257,A0001,POINT (674445.7471093528 6902999.859197257),1.0,"0    10637.602285
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
2101,2101,643797.7187368876,6973849.1805739505,A0016,POINT (643797.7187368876 6973849.1805739505),1.0,"0    8569.945405
dtype: float64",5.0,"0    1231.802738
dtype: float64",42708.41,0.0034475363367551908,1435.0370001743481,5740.1480006973925,523788.50506363704,0,0,0,1,large
1479,1479,566405.4120897468,6725715.49967497,A0010,POINT (566405.4120897468 6725715.49967497),1.0,"0    4996.25036
dtype: float64",5.0,"0    4996.25036
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
110,110,678486.9552314035,6919852.289262906,A0001,POINT (678486.9552314035 6919852.289262906),1.0,"0    4237.985805
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
2338,2338,584815.3924686429,6600168.256435859,A0020,POINT (584815.3924686429 6600168.256435859),1.0,"0    38527.278082
dtype: float64",5.0,"0    36310.223544
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
1190,1190,993040.3909341238,6269420.6892085485,A0008,POINT (993040.3909341238 6269420.6892085485),1.0,"0    57932.916454
dtype: float64",5.0,"0    5950.525218
dtype: float64",159447.95,0.01287106219702688,6122.948159442787,24491.79263777115,2234876.0781966173,0,0,0,1,large
1032,1032,849232.8139905151,6335281.12225477,A0007,POINT (849232.8139905151 6335281.12225477),1.0,"0    3000.026917
dtype: float64",5.0,"0    3000.026917
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
2895,2895,565662.6539178492,6933861.576587262,A0028,POINT (565662.6539178492 6933861.576587262),1.0,"0    7271.759118
dtype: float64",5.0,"0    6100.493027
dtype: float64",73035.72,0.005895637383388373,3569.540452124233,14278.161808496932,1302882.2650253451,0,0,0,1,large
1043,1043,853757.7663736006,6314621.127458189,A0007,POINT (853757.7663736006 6314621.127458189),1.0,"0    6249.977474
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
133,133,685752.2777426727,6965384.685673978,A0001,POINT (685752.2777426727 6965384.685673978),1.0,"0    1859.448206
dtype: float64",5.0,"0    1202.543316
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
1716,1716,555874.8953147496,6794838.652698985,A0011,POINT (555874.8953147496 6794838.652698985),1.0,"0    20376.503226
dtype: float64",5.0,"0    20376.503226
dtype: float64",123877.44,0.009999716114559425,3917.535842527398,15670.143370109592,1429900.5825225003,0,0,0,1,large
651,651,838797.1370853517,6777345.522627078,A0005,POINT (838797.1370853517 6777345.522627078),1.0,"0    56535.59744
dtype: float64",5.0,"0    56535.59744
dtype: float64",52949.71,0.0042742412851625635,2372.2039132652226,9488.81565306089,865854.4283418063,0,0,0,1,large
1124,1124,884524.971724952,6275538.677811281,A0008,POINT (884524.971724952 6275538.677811281),1.0,"0    8085.480423
dtype: float64",5.0,"0    5242.671084
dtype: float64",159447.95,0.01287106219702688,6122.948159442787,24491.79263777115,2234876.0781966173,0,0,0,1,large
1906,1906,588219.4487222997,6882224.557894952,A0013,POINT (588219.4487222997 6882224.557894952),1.0,"0    17280.9128
dtype: float64",5.0,"0    7396.329948
dtype: float64",199619.88,0.016113847128439357,6707.388867212882,26829.55546885153,2448196.936532702,0,0,0,1,large
1492,1492,543455.148379321,6715350.134773569,A0010,POINT (543455.148379321 6715350.134773569),1.0,"0    13663.066475
dtype: float64",5.0,"0    13233.924793
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
2011,2011,647149.2353798668,6873045.825110843,A0015,POINT (647149.2353798668 6873045.825110843),1.0,"0    141.681955
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,4245.328334435337,16981.313337741347,1549544.8420688978,0,0,0,1,large
809,809,803660.799114182,6698949.316294058,A0006,POINT (803660.799114182 6698949.316294058),1.0,"0    35928.588392
dtype: float64",5.0,"0    35928.588392
dtype: float64",356928.98,0.028812255670275868,11993.10142275233,47972.40569100932,4377482.019304601,0,0,0,1,large
30,30,647532.5605015066,6859183.285022089,75000C01,POINT (647532.5605015066 6859183.285022089),1.0,"0    2281.162625
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable
1114,1114,844793.890000001,6495073.158,A0007N,POINT (844793.890000001 6495073.158),1.0,"0    2641.449922
dtype: float64",5.0,"0    507.94949
dtype: float64",88524.21,0.007145909451031944,3660.904380297904,14643.617521191616,1336230.098808735,0,0,0,1,large
2428,2428,583382.9271273232,6458391.867835479,A0020,POINT (583382.9271273232 6458391.867835479),1.0,"0    2519.685714
dtype: float64",5.0,"0    2519.685714
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
2783,2783,745915.3742734365,6946980.6715771835,A0026,POINT (745915.3742734365 6946980.6715771835),1.0,"0    3913.23582
dtype: float64",5.0,"0    0.0
dtype: float64",156332.18,0.012619548963638615,5252.887256114574,21011.549024458294,1917303.8484818193,0,0,0,1,large
221,221,717708.1425821127,7013590.652456985,A0002,POINT (717708.1425821127 7013590.652456985),1.0,"0    3207.849619
dtype: float64",5.0,"0    3182.304597
dtype: float64",41867.89,0.003379687328989051,7502.905870355693,30011.623481422772,2738560.6426798278,0,0,0,1,large
2230,2230,713120.9027182799,6785682.724298848,A0019,POINT (713120.9027182799 6785682.724298848),1.0,"0    27826.239009
dtype: float64",5.0,"0    0.0
dtype: float64",26815.98,0.002164657158992818,3604.154169723042,14416.616678892167,1315516.2719489103,0,0,0,1,large
2024,2024,643898.5503787555,6875534.840855652,A0015,POINT (643898.5503787555 6875534.840855652),1.0,"0    2127.295449
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,4245.328334435337,16981.313337741347,1549544.8420688978,0,0,0,1,large
1145,1145,911551.2180667742,6267784.4359807465,A0008,POINT (911551.2180667742 6267784.4359807465),1.0,"0    17398.599371
dtype: float64",5.0,"0    1147.301156
dtype: float64",159447.95,0.01287106219702688,6122.948159442787,24491.79263777115,2234876.0781966173,0,0,0,1,large
139,139,688279.3331180784,6975583.725701042,A0001,POINT (688279.3331180784 6975583.725701042),1.0,"0    8549.944231
dtype: float64",5.0,"0    7064.033596
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
515,515,1020077.5053885186,6859969.842160234,A0004,POINT (1020077.5053885186 6859969.842160234),1.0,"0    2408.558329
dtype: float64",5.0,"0    2408.558329
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
355,355,761623.072413451,6904025.228499783,A0004,POINT (761623.072413451 6904025.228499783),1.0,"0    10288.484364
dtype: float64",5.0,"0    5439.368565
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
2071,2071,635205.87469857,6918944.50293107,A0016,POINT (635205.87469857 6918944.50293107),1.0,"0    4642.407441
dtype: float64",5.0,"0    4642.407441
dtype: float64",42708.41,0.0034475363367551908,1435.0370001743481,5740.1480006973925,523788.50506363704,0,0,0,1,large
2472,2472,581498.510363184,6389990.38448779,A0020,POINT (581498.510363184 6389990.38448779),1.0,"0    61301.453665
dtype: float64",5.0,"0    15356.80927
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
