,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Region
416,416,866183.9726774457,6890869.485112544,A0004,POINT (866183.9726774457 6890869.485112544),1.0,"0    9859.493516
dtype: float64",5.0,"0    4700.214877
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
444,444,917507.5275283853,6903834.079379521,A0004,POINT (917507.5275283853 6903834.079379521),1.0,"0    12411.499217
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
663,663,858726.099105676,6767325.399610021,A0005,POINT (858726.099105676 6767325.399610021),1.0,"0    68638.924455
dtype: float64",5.0,"0    63362.606555
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
516,516,1021859.5273390659,6861045.549958841,A0004,POINT (1021859.5273390659 6861045.549958841),1.0,"0    1754.595977
dtype: float64",5.0,"0    1754.595977
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
487,487,986330.8500731576,6892585.290780795,A0004,POINT (986330.8500731576 6892585.290780795),1.0,"0    10450.613334
dtype: float64",5.0,"0    8351.862565
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
560,560,694398.9575265107,6814419.509861582,A0005,POINT (694398.9575265107 6814419.509861582),1.0,"0    6482.374402
dtype: float64",5.0,"0    6482.374402
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
580,580,720261.7884358987,6797810.800216349,A0005,POINT (720261.7884358987 6797810.800216349),1.0,"0    24714.075845
dtype: float64",5.0,"0    6767.524654
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
600,600,753391.1490689791,6796808.241610213,A0005,POINT (753391.1490689791 6796808.241610213),1.0,"0    19112.217012
dtype: float64",5.0,"0    19112.217012
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
276,276,660542.4636092053,6858118.981734012,A0004,POINT (660542.4636092053 6858118.981734012),1.0,"0    1304.690184
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
28,28,651108.1844775294,6857724.947920832,75000C01,POINT (651108.1844775294 6857724.947920832),1.0,"0    1073.30574
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable,Bretagne
2,2,511367.215000004,6204210.064,31D0044E,POINT (511367.215000004 6204210.064),1.0,"0    80496.520264
dtype: float64",5.0,"0    78077.336309
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable,Bretagne
176,176,698625.6387349906,7042353.94412725,A0001,POINT (698625.6387349906 7042353.94412725),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,7462.075290897334,52234.52703628133,2723657.481177527,0,0,0,1,large,Bretagne
335,335,729306.718795252,6886795.584175491,A0004,POINT (729306.718795252 6886795.584175491),1.0,"0    913.439573
dtype: float64",5.0,"0    880.457611
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
725,725,684921.0128538772,6789348.078289336,A0006,POINT (684921.0128538772 6789348.078289336),1.0,"0    21159.0355
dtype: float64",5.0,"0    7246.120656
dtype: float64",356928.98,0.028812255670275868,6396.320758801243,44774.2453116087,2334657.076962454,0,0,0,1,large,Hauts-de-France
107,107,677269.4475312486,6913464.736054947,A0001,POINT (677269.4475312486 6913464.736054947),1.0,"0    73.512205
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
533,533,1048656.9611368736,6850737.553856973,A0004,POINT (1048656.9611368736 6850737.553856973),1.0,"0    2664.524477
dtype: float64",5.0,"0    773.447771
dtype: float64",489209.44,0.03949028588710416,10958.554333671405,76709.88033569984,3999872.331790063,0,0,0,1,large,Hauts-de-France
152,152,690810.7010638552,7000344.348871009,A0001,POINT (690810.7010638552 7000344.348871009),1.0,"0    18106.776285
dtype: float64",5.0,"0    16924.822214
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
239,239,743813.1893364908,7033407.994972703,A0002,POINT (743813.1893364908 7033407.994972703),1.0,"0    1009.989885
dtype: float64",5.0,"0    1009.989885
dtype: float64",41867.89,0.003379687328989051,1250.4843117259488,8753.390182081643,456426.77377997135,0,0,0,1,large,Hauts-de-France
98,98,671659.7187013088,6900724.835556017,A0001,POINT (671659.7187013088 6900724.835556017),1.0,"0    10378.621796
dtype: float64",5.0,"0    1003.078613
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
872,872,845888.0127891939,6601860.824810773,A0006,POINT (845888.0127891939 6601860.824810773),1.0,"0    19882.781678
dtype: float64",5.0,"0    16034.017325
dtype: float64",356928.98,0.028812255670275868,6396.320758801243,44774.2453116087,2334657.076962454,0,0,0,1,large,Hauts-de-France
1369,1369,689506.6072740188,6179577.6224647695,A0009,POINT (689506.6072740188 6179577.6224647695),1.0,"0    2024.89051
dtype: float64",5.0,"0    0.0
dtype: float64",290811.36,0.023475065701139306,26057.32292826463,182401.26049785243,9510922.86881659,0,0,0,1,large,Hauts-de-France
127,127,683561.2073209739,6953773.837580778,A0001,POINT (683561.2073209739 6953773.837580778),1.0,"0    131.816127
dtype: float64",5.0,"0    131.816127
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
2032,2032,638001.098217033,6879398.613767712,A0015,POINT (638001.098217033 6879398.613767712),1.0,"0    1100.626099
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,5306.660418044172,37146.6229263092,1936931.0525861226,0,0,0,1,large,Hauts-de-France
1884,1884,626168.063000001,6870191.029,A0013,POINT (626168.063000001 6870191.029),1.0,"0    8749.056746
dtype: float64",5.0,"0    0.0
dtype: float64",199619.88,0.016113847128439357,8943.185156283844,62602.29609398691,3264262.582043603,0,0,0,1,large,Hauts-de-France
879,879,842116.7939547566,6588805.545452148,A0006,POINT (842116.7939547566 6588805.545452148),1.0,"0    6294.953804
dtype: float64",5.0,"0    2497.252901
dtype: float64",356928.98,0.028812255670275868,6396.320758801243,44774.2453116087,2334657.076962454,0,0,0,1,large,Hauts-de-France
1567,1567,475437.8764683315,6602492.612026527,A0010,POINT (475437.8764683315 6602492.612026527),1.0,"0    23642.530801
dtype: float64",5.0,"0    19588.69033
dtype: float64",381900.72,0.03082804087609372,17109.562686232013,119766.9388036241,6244990.380474685,0,0,0,1,large,Hauts-de-France
1404,1404,627091.0897324786,6831492.773443862,A0010,POINT (627091.0897324786 6831492.773443862),1.0,"0    16171.468631
dtype: float64",5.0,"0    11183.931337
dtype: float64",381900.72,0.03082804087609372,17109.562686232013,119766.9388036241,6244990.380474685,0,0,0,1,large,Hauts-de-France
908,908,834450.5350924652,6533919.858628262,A0006,POINT (834450.5350924652 6533919.858628262),1.0,"0    6115.929654
dtype: float64",5.0,"0    2099.494838
dtype: float64",356928.98,0.028812255670275868,6396.320758801243,44774.2453116087,2334657.076962454,0,0,0,1,large,Hauts-de-France
318,318,702131.5217073747,6870746.177630265,A0004,POINT (702131.5217073747 6870746.177630265),1.0,"0    7608.390587
dtype: float64",5.0,"0    7608.390587
dtype: float64",489209.44,0.03949028588710416,10958.554333671405,76709.88033569984,3999872.331790063,0,0,0,1,large,Hauts-de-France
267,267,655913.1223270121,6858057.416390388,A0004,POINT (655913.1223270121 6858057.416390388),1.0,"0    289.247843
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,10958.554333671405,76709.88033569984,3999872.331790063,0,0,0,1,large,Hauts-de-France
1897,1897,603949.3882232266,6876627.898853618,A0013,POINT (603949.3882232266 6876627.898853618),1.0,"0    4382.39199
dtype: float64",5.0,"0    215.092751
dtype: float64",199619.88,0.016113847128439357,8943.185156283844,62602.29609398691,3264262.582043603,0,0,0,1,large,Hauts-de-France
2039,2039,634829.2919714977,6881811.606493512,A0015,POINT (634829.2919714977 6881811.606493512),1.0,"0    99.838607
dtype: float64",5.0,"0    0.0
dtype: float64",118449.4,0.00956155030278229,5306.660418044172,37146.6229263092,1936931.0525861226,0,0,0,1,large,Hauts-de-France
530,530,1046645.1415367809,6855092.511278475,A0004,POINT (1046645.1415367809 6855092.511278475),1.0,"0    6076.799574
dtype: float64",5.0,"0    3807.48309
dtype: float64",489209.44,0.03949028588710416,10958.554333671405,76709.88033569984,3999872.331790063,0,0,0,1,large,Hauts-de-France
2263,2263,671464.7544655805,6775532.569488208,A0019,POINT (671464.7544655805 6775532.569488208),1.0,"0    10060.058475
dtype: float64",5.0,"0    10485.659227
dtype: float64",26815.98,0.002164657158992818,2402.769446482028,16819.386125374196,877010.8479659401,0,0,0,1,large,Hauts-de-France
38,38,654064.5719073935,6866922.205298667,75000C02,POINT (654064.5719073935 6866922.205298667),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable,Hauts-de-France
1012,1012,837980.4522001471,6365979.493504713,A0007,POINT (837980.4522001471 6365979.493504713),1.0,"0    2261.185226
dtype: float64",5.0,"0    2261.185226
dtype: float64",321874.2,0.025982540683767145,9613.540052993843,67294.7803709569,3508942.1193427527,0,0,0,1,large,Hauts-de-France
989,989,842815.6510871708,6410001.4710356165,A0007,POINT (842815.6510871708 6410001.4710356165),1.0,"0    3723.973382
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,9613.540052993843,67294.7803709569,3508942.1193427527,0,0,0,1,large,Hauts-de-France
1817,1817,398549.731179326,6709539.949531029,A0011,POINT (398549.731179326 6709539.949531029),1.0,"0    13866.553812
dtype: float64",5.0,"0    13866.553812
dtype: float64",123877.44,0.009999716114559425,11099.684887160962,77697.79421012674,4051384.983813751,0,0,0,1,large,Hauts-de-France
112,112,677806.9753810854,6923971.6426081965,A0001,POINT (677806.9753810854 6923971.6426081965),1.0,"0    6159.238763
dtype: float64",5.0,"0    278.093332
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
556,556,689421.3865080773,6820345.214487954,A0005,POINT (689421.3865080773 6820345.214487954),1.0,"0    13411.03289
dtype: float64",5.0,"0    13411.03289
dtype: float64",52949.71,0.0042742412851625635,1581.4692755101482,11070.284928571038,577236.2855612041,0,0,0,1,large,Hauts-de-France
1026,1026,841880.7302908172,6340591.715371673,A0007,POINT (841880.7302908172 6340591.715371673),1.0,"0    5141.942975
dtype: float64",5.0,"0    2326.561329
dtype: float64",321874.2,0.025982540683767145,9613.540052993843,67294.7803709569,3508942.1193427527,0,0,0,1,large,Hauts-de-France
703,703,663746.3782755994,6823459.551740541,A0006,POINT (663746.3782755994 6823459.551740541),1.0,"0    6067.342559
dtype: float64",5.0,"0    2502.916414
dtype: float64",356928.98,0.028812255670275868,6396.320758801243,44774.2453116087,2334657.076962454,0,0,0,1,large,Hauts-de-France
202,202,694311.115000002,6993756.094,A0002,POINT (694311.115000002 6993756.094),1.0,"0    25058.124101
dtype: float64",5.0,"0    14493.606054
dtype: float64",41867.89,0.003379687328989051,1250.4843117259488,8753.390182081643,456426.77377997135,0,0,0,1,large,Hauts-de-France
554,554,687253.485633161,6823541.144801515,A0005,POINT (687253.485633161 6823541.144801515),1.0,"0    10289.649277
dtype: float64",5.0,"0    10289.649277
dtype: float64",52949.71,0.0042742412851625635,1581.4692755101482,11070.284928571038,577236.2855612041,0,0,0,1,large,Hauts-de-France
211,211,706070.2085893606,7002368.198773421,A0002,POINT (706070.2085893606 7002368.198773421),1.0,"0    11959.825499
dtype: float64",5.0,"0    10890.00062
dtype: float64",41867.89,0.003379687328989051,1250.4843117259488,8753.390182081643,456426.77377997135,0,0,0,1,large,Hauts-de-France
126,126,683166.0521998627,6951501.173500568,A0001,POINT (683166.0521998627 6951501.173500568),1.0,"0    2309.64354
dtype: float64",5.0,"0    2309.64354
dtype: float64",333120.37,0.02689036140863904,4974.716860598222,34823.01802418756,1815771.6541183512,0,0,0,1,large,Hauts-de-France
635,635,816857.2475660888,6786802.59690411,A0005,POINT (816857.2475660888 6786802.59690411),1.0,"0    33060.575065
dtype: float64",5.0,"0    33060.575065
dtype: float64",52949.71,0.0042742412851625635,1581.4692755101482,11070.284928571038,577236.2855612041,0,0,0,1,large,Hauts-de-France
